song_id,song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
2144,Rocket Man (I Think It's Going To Be A Long Long Time),17,282013,0.431,0.6,0.507,4.98e-06,10,0.0924,-9.98,1,0.0289,136.611,4,0.333
2765,The Model - 2009 Remastered Version,60,220533,0.00122,0.708,0.6829999999999999,0.643,4,0.121,-7.768,0,0.0344,123.602,4,0.463
13764,Not Her,54,176129,0.247,0.721,0.602,0.0,4,0.104,-7.15,0,0.0794,77.493,4,0.402
1175,I Want You Back,41,176333,0.29,0.639,0.5479999999999999,9.68e-05,8,0.366,-13.534,1,0.0394,98.359,4,0.887
15019,Feed The Fire,47,357477,0.331,0.698,0.618,0.00518,0,0.166,-6.909,1,0.0281,120.919,4,0.8340000000000001
9429,I Follow Rivers,65,228466,0.475,0.599,0.5329999999999999,0.00153,9,0.235,-14.032,0,0.0472,122.262,4,0.607
7898,Fight Back (feat. Nevve),52,221000,0.0589,0.61,0.794,0.000239,1,0.104,-5.476,1,0.0301,90.014,4,0.249
15859,Ophelia,71,160097,0.613,0.664,0.573,0.000363,5,0.0857,-6.519,1,0.0277,76.023,4,0.5660000000000001
8073,Steal My Sunshine - Single Version,59,211466,0.527,0.405,0.944,0.0,4,0.214,-8.472999999999999,1,0.249,192.147,4,0.71
12385,Electricity (with Dua Lipa),94,238173,0.0104,0.588,0.67,3.33e-06,0,0.338,-6.439,1,0.0473,118.159,4,0.505
4157,Phase One,55,123160,0.963,0.365,0.362,0.953,1,0.113,-16.292,0,0.0275,93.053,4,0.108
15879,In My Feelings,98,217925,0.0589,0.835,0.626,6e-05,1,0.396,-5.832999999999998,1,0.125,91.03,4,0.35
4529,明天的煩惱,40,183375,0.5660000000000001,0.762,0.6990000000000001,0.0,7,0.234,-6.36,1,0.0666,80.029,4,0.535
16058,Autumn,48,217906,0.482,0.428,0.515,0.0,1,0.0972,-9.265,0,0.0656,130.124,4,0.344
15237,Hurricane - Arty Remix,66,224520,0.0265,0.448,0.845,4.24e-06,0,0.376,-4.123,1,0.0611,127.978,4,0.458
2814,Gary Gilmore's Eyes,38,136959,0.0349,0.421,0.598,4.8e-06,4,0.416,-6.0779999999999985,0,0.0487,157.92700000000005,4,0.778
13311,Introspective,64,174375,0.994,0.35600000000000004,0.0199,0.956,6,0.155,-26.752,0,0.0645,79.547,4,0.326
12321,Alright,16,178432,0.0544,0.889,0.418,0.000984,0,0.154,-9.437,1,0.0589,110.998,4,0.5720000000000001
11522,Tough - Acoustic,62,223360,0.8140000000000001,0.7140000000000001,0.311,0.0,1,0.0916,-7.971,1,0.0442,110.643,4,0.442
4625,Rivière & océan,44,151058,0.826,0.575,0.401,0.000294,11,0.11,-9.908,0,0.21600000000000005,84.428,4,0.512
17290,Walking On Sunshine,79,238733,0.0116,0.596,0.8690000000000001,0.173,10,0.0678,-11.97,1,0.037000000000000005,109.902,4,0.944
18166,Nice To Meet You,23,179876,0.0641,0.7040000000000001,0.718,0.0,4,0.22,-5.478,0,0.0496,126.021,4,0.37
15463,Had el Lilla,33,245466,0.0395,0.685,0.917,0.0,5,0.318,-4.069,0,0.255,135.995,4,0.605
5338,My Home's In Alabama - Live,43,386026,0.276,0.366,0.479,0.0114,7,0.136,-9.774,1,0.0438,80.842,4,0.397
59,Judith,66,247266,3.32e-05,0.365,0.894,0.171,11,0.267,-4.682,0,0.0572,82.305,3,0.31
10387,Felices los 4,35,229848,0.231,0.755,0.789,0.0,5,0.35100000000000003,-4.502,1,0.146,93.973,4,0.737
17174,Yamborghini High,71,302004,0.0283,0.838,0.765,1.5e-05,7,0.0779,-6.299,1,0.28,137.767,4,0.635
16904,Imogen,56,255533,0.85,0.493,0.584,0.000353,5,0.114,-6.894,1,0.0311,86.90899999999998,4,0.234
5783,Rescue My Heart,48,205614,0.715,0.273,0.252,0.00168,5,0.146,-11.117,0,0.0342,74.586,3,0.0412
18541,I Found,58,274226,0.877,0.28,0.317,0.007140000000000001,7,0.108,-12.433,0,0.0468,186.644,3,0.237
9614,Burn the House Down,68,212373,0.0364,0.454,0.66,0.0,0,0.181,-4.357,1,0.168,184.353,4,0.568
7269,Forever for Now,46,211306,0.184,0.6459999999999999,0.506,0.0,10,0.0886,-7.269,0,0.0307,139.991,4,0.412
9618,Not Too Late,56,195826,0.0864,0.657,0.693,9.22e-05,0,0.13699999999999998,-5.323,1,0.0332,120.041,4,0.271
3260,Stone,65,216573,0.792,0.565,0.255,2.07e-06,7,0.0986,-12.151,1,0.0322,110.015,4,0.121
17651,REEL IT IN,87,121346,0.073,0.754,0.342,0.0,10,0.193,-8.677,0,0.0991,128.981,4,0.423
14554,Nuestro Dia Ya Viene Llegando,32,352480,0.58,0.35200000000000004,0.919,1.7899999999999998e-05,9,0.7070000000000001,-6.499,0,0.0548,173.861,4,0.5529999999999999
14074,This Is The New Shit,48,260293,0.000737,0.568,0.868,0.0029100000000000003,2,0.118,-6.112,1,0.0975,178.05700000000004,4,0.62
18527,Lockjaw,70,223146,0.0411,0.615,0.648,0.0,5,0.277,-3.792,0,0.22,169.912,4,0.26
17724,Money Trees,68,386906,0.0703,0.716,0.531,0.0,7,0.224,-7.355,1,0.122,71.994,4,0.344
11710,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",98,212500,0.153,0.841,0.7979999999999999,3.33e-06,1,0.0618,-4.206,0,0.229,95.948,4,0.591
12733,S O R E E,13,225280,0.483,0.6940000000000001,0.5539999999999999,0.0534,1,0.107,-7.407999999999999,0,0.0341,130.02200000000002,4,0.0646
1784,Come Sail Away,35,336693,0.632,0.376,0.521,2.24e-06,0,0.215,-7.672999999999999,1,0.042,122.817,3,0.19
